gen,time,Terre,x_1,y_1,z_1,vx_1,vy_1,vz_1,ax_1,ay_1,az_1,Soleil,x_2,y_2,z_2,vx_2,vy_2,vz_2,ax_2,ay_2,az_2,Body3,x_3,y_3,z_3,vx_3,vy_3,vz_3,ax_3,ay_3,az_3
0,0,,149597887500.0,0.0,0.0,0.0,29783.0,0.0,-45.04516618347507,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.00013526458077215656,0.0,0.0,,149982286500.0,0.0,0.0,0.0,30805.0,0.0,-65.30119453313479,0.0,0.0
2,15187.5,,-1.873305955211165e+16,8.257359081799444e+18,0.0,-90.09033236695014,29783.0,0.0,3.354148353359545e-17,-1.4784730770361667e-14,0.0,,56253309664.142044,0.0,0.0,0.0002705291615443131,0.0,0.0,-1.0072056766686725e-22,4.4396559696028463e-20,0.0,,-2.7157057740098724e+16,8.540709348112409e+18,0.0,-130.60238906626958,30805.0,0.0,4.5062922368548807e-17,-1.3857545918479744e-14,0.0
4,30375.0,,-4.371067175211051e+16,1.6514718163598889e+19,0.0,-90.09033236695014,29783.0,0.0,9.782950065355153e-18,-3.696172387900468e-15,0.0,,131257722549.66476,1.8463469197528045e-05,0.0,0.0002705291615443131,8.879311939205693e-20,0.0,-2.937688439010926e-23,1.1099108980407972e-20,0.0,,-6.336666803661235e+16,1.7081418696224817e+19,0.0,-130.60238906626958,30805.0,0.0,1.3143166500627364e-17,-3.464363056841595e-15,0.0
6,45562.5,,-6.868828395210938e+16,2.477207724539833e+19,0.0,-90.09033236695014,29783.0,0.0,4.555025370701156e-18,-1.642741600314832e-15,0.0,,206262135435.18747,4.769728255824335e-05,0.0,0.0002705291615443131,1.1099133735287288e-19,0.0,-1.3678129073047105e-23,4.932932270212906e-21,0.0,,-9.957627833312598e+16,2.5622128044337226e+19,0.0,-130.60238906626958,30805.0,0.0,6.119536012502219e-18,-1.539713088622923e-15,0.0
8,60750.0,,-9.366589615210822e+16,3.3029436327197774e+19,0.0,-90.09033236695014,29783.0,0.0,2.6204337620282383e-18,-9.240416602643548e-16,0.0,,281266548320.7102,8.052120281858742e-05,0.0,0.0002705291615443131,1.2085720189329867e-19,0.0,-7.868810447234763e-24,2.7747729308526433e-21,0.0,,-1.3578588862963962e+17,3.4162837392449634e+19,0.0,-130.60238906626958,30805.0,0.0,3.520461568942687e-18,-8.660874989371995e-16,0.0
10,75937.5,,-1.1864350835210707e+17,4.128679540899722e+19,0.0,-90.09033236695014,29783.0,0.0,1.6994386635575252e-18,-5.9138647106069525e-16,0.0,,356270961206.2329,0.00011518291447776411,0.0,0.0002705291615443131,1.2640674775500395e-19,0.0,-5.1031859320441896e-24,1.7758541006714254e-21,0.0,,-1.7199549892615328e+17,4.2703546740562035e+19,0.0,-130.60238906626958,30805.0,0.0,2.2831326303669134e-18,-5.542955640934183e-16,0.0
12,91125.0,,-1.4362112055210592e+17,4.954415449079667e+19,0.0,-90.09033236695014,29783.0,0.0,1.190518070833042e-18,-4.1068495970778e-16,0.0,,431275374091.7556,0.0001509678153962313,0.0,0.0002705291615443131,1.2995845595634678e-19,0.0,-3.57496578205508e-24,1.2332317451785076e-21,0.0,,-2.0820510922266694e+17,5.1244256088674435e+19,0.0,-130.60238906626958,30805.0,0.0,1.5994148246063216e-18,-3.849272713503275e-16,0.0
14,106312.5,,-1.6859873275210477e+17,5.780151357259612e+19,0.0,-90.09033236695014,29783.0,0.0,8.800990454973891e-19,-3.017276781060892e-16,0.0,,506279786977.2783,0.00018751176639426013,0.0,0.0002705291615443131,1.3242491944670378e-19,0.0,-2.6428191638207758e-24,9.06047670467885e-22,0.0,,-2.444147195191806e+17,5.9784965436786835e+19,0.0,-130.60238906626958,30805.0,0.0,1.1823778913861993e-18,-2.828036018587733e-16,0.0
16,121500.0,,-1.935763449521036e+17,6.605887265439557e+19,0.0,-90.09033236695014,29783.0,0.0,6.769453930683663e-19,-2.310102261882929e-16,0.0,,581284199862.801,0.00022460347819932414,0.0,0.0002705291615443131,1.3423701478763957e-19,0.0,-2.0327760458485505e-24,6.9369266553852185e-22,0.0,,-2.8062432981569427e+17,6.8325674784899236e+19,0.0,-130.60238906626958,30805.0,0.0,9.094484881063352e-19,-2.1652144549245498e-16,0.0
18,136687.5,,-2.1855395715210246e+17,7.431623173619502e+19,0.0,-90.09033236695014,29783.0,0.0,5.367875301153763e-19,-1.8252658158586582e-16,0.0,,656288612748.3237,0.00026210928141988637,0.0,0.0002705291615443131,1.3562440011871663e-19,0.0,-1.6119008181484803e-24,5.481027961451795e-22,0.0,,-3.1683394011220794e+17,7.686638413301164e+19,0.0,-130.60238906626958,30805.0,0.0,7.211517577700745e-19,-1.710786346124965e-16,0.0
